Transaction_Date,Hospital_ID,Hospital_Name,Hospital_Type,Hospital_Size,Territory,Product_ID,Product_Name,Product_Category,Units_Sold,Unit_Price,Total_Revenue,Inventory_Level,Stockout_Flag,Market_Index,Promotion_Flag,Year,Month,Quarter,Day_of_Week,Is_Weekend,Day_of_Month,Week_of_Year,Calculated_Revenue,Revenue_Difference
2023-01-01,H007,Hospital_G,Multi_Specialty,Large,East,P008,Endoscopy_System,Gastroenterology,16,1152703.3,18443252.8,48,0,0.5382,0,2023,1,1,6,1,1,52,18443252.8,0.0
2023-01-01,H003,Hospital_C,Tertiary_Care,Medium,West,P002,Ultrasound_System,Radiology,13,740080.39,9621045.07,45,0,0.5188,0,2023,1,1,6,1,1,52,9621045.07,0.0
2023-01-01,H004,Hospital_D,Multi_Specialty,Medium,West,P001,Imaging_System,Radiology,15,1778581.28,26678719.2,57,0,0.5728,0,2023,1,1,6,1,1,52,26678719.2,0.0
2023-01-01,H008,Hospital_H,Specialty_Care,Small,East,P005,Cardiac_Monitor,Cardiology,13,144483.46,1878284.98,22,0,0.5252,0,2023,1,1,6,1,1,52,1878284.98,0.0
2023-01-01,H007,Hospital_G,Multi_Specialty,Large,East,P005,Cardiac_Monitor,Cardiology,29,146388.48,4245265.92,75,0,0.5232,0,2023,1,1,6,1,1,52,4245265.92,0.0
2023-01-01,H004,Hospital_D,Multi_Specialty,Medium,West,P006,Infusion_Pump,Critical_Care,28,61289.24,1716098.72,93,0,0.4781,1,2023,1,1,6,1,1,52,1716098.72,0.0
2023-01-01,H004,Hospital_D,Multi_Specialty,Medium,West,P008,Endoscopy_System,Gastroenterology,14,1019050.73,14266710.22,43,0,0.53,0,2023,1,1,6,1,1,52,14266710.22,0.0
2023-01-02,H001,Hospital_A,Tertiary_Care,Large,North,P008,Endoscopy_System,Gastroenterology,22,1133171.58,24929774.76,68,0,0.5193,0,2023,1,1,0,0,2,1,24929774.76,0.0
2023-01-02,H001,Hospital_A,Tertiary_Care,Large,North,P001,Imaging_System,Radiology,22,1866189.81,41056175.82,38,0,0.5235,0,2023,1,1,0,0,2,1,41056175.82,0.0
2023-01-02,H010,Hospital_J,Tertiary_Care,Large,Central,P005,Cardiac_Monitor,Cardiology,27,142239.9,3840477.3,67,0,0.5325,0,2023,1,1,0,0,2,1,3840477.3,0.0
2023-01-02,H002,Hospital_B,Multi_Specialty,Large,North,P003,Patient_Monitor,Patient_Monitoring,30,122539.42,3676182.6,57,0,0.4453,0,2023,1,1,0,0,2,1,3676182.6,0.0
2023-01-02,H007,Hospital_G,Multi_Specialty,Large,East,P003,Patient_Monitor,Patient_Monitoring,42,125284.48,5261948.16,102,0,0.5019,0,2023,1,1,0,0,2,1,5261948.16,0.0
2023-01-02,H001,Hospital_A,Tertiary_Care,Large,North,P007,Ventilator,Critical_Care,28,318681.9,8923093.2,82,0,0.5608,0,2023,1,1,0,0,2,1,8923093.2,-0.0
2023-01-02,H002,Hospital_B,Multi_Specialty,Large,North,P005,Cardiac_Monitor,Cardiology,29,147782.36,4285688.44,49,0,0.5646,0,2023,1,1,0,0,2,1,4285688.44,0.0
2023-01-02,H010,Hospital_J,Tertiary_Care,Large,Central,P004,ECG_System,Cardiology,31,84876.39,2631168.09,126,0,0.4948,0,2023,1,1,0,0,2,1,2631168.09,0.0
2023-01-02,H007,Hospital_G,Multi_Specialty,Large,East,P004,ECG_System,Cardiology,31,88137.84,2732273.04,85,0,0.5361,0,2023,1,1,0,0,2,1,2732273.04,0.0
2023-01-02,H006,Hospital_F,Tertiary_Care,Large,South,P003,Patient_Monitor,Patient_Monitoring,30,124310.23,3729306.9,79,0,0.472,0,2023,1,1,0,0,2,1,3729306.9,0.0
2023-01-03,H010,Hospital_J,Tertiary_Care,Large,Central,P002,Ultrasound_System,Radiology,21,715673.1,15029135.1,64,0,0.5438,0,2023,1,1,1,0,3,1,15029135.1,0.0
2023-01-03,H003,Hospital_C,Tertiary_Care,Medium,West,P007,Ventilator,Critical_Care,27,341467.37,9219618.99,79,0,0.514,1,2023,1,1,1,0,3,1,9219618.99,0.0
2023-01-03,H004,Hospital_D,Multi_Specialty,Medium,West,P007,Ventilator,Critical_Care,21,356796.5,7492726.5,73,0,0.4536,0,2023,1,1,1,0,3,1,7492726.5,0.0
2023-01-03,H002,Hospital_B,Multi_Specialty,Large,North,P004,ECG_System,Cardiology,25,86915.51,2172887.75,87,0,0.5536,0,2023,1,1,1,0,3,1,2172887.75,0.0
2023-01-03,H008,Hospital_H,Specialty_Care,Small,East,P006,Infusion_Pump,Critical_Care,17,64930.4,1103816.8,37,0,0.5124,1,2023,1,1,1,0,3,1,1103816.8,0.0
